,cell_diameter,cell_length,doubling_h,growth_tmp,optimum_tmp,optimum_ph,genome_size,gc_content,coding_genes,rRNA16S_genes,tRNA_genes
Zotu33738,-0.3875,0.2621,0.8624,35.54,40.11,6.617,5420000,59.02,4246,1.441,47.89
Zotu33739,-0.2484,0.1686,0.6168,35.62,33.48,7.041,4910000,62.52,4057,2.232,49.27
Zotu3374,-0.251,0.2404,0.7286,37.47,34.03,6.874,3480000,54.97,3692,1.918,48.95
Zotu33741,0.08168,0.1908,0.9977,29.57,28.5,6.084,6990000,59.98,5311,2.103,58.59
Zotu33742,-0.06798,0.5798,0.8953,28.86,27.9,7.86,9690000,69.08,10100,3.565,70.55
Zotu33743,-0.1944,0.1307,0.8099,28.83,30.37,7.161,4520000,62.98,4371,2.164,48.78
Zotu33744,-0.05618,0.3035,1.178,37.53,38.55,7.167,4110000,54.62,3701,1.967,49.4
Zotu33746,-0.251,0.2404,0.7286,37.47,31.34,6.874,4560000,57.39,4051,1.895,50.78
Zotu33747,0.002106,0.08859,1.014,28.9,28.2,6.322,6950000,55.3,5007,1.944,54.51
Zotu33748,-0.3357,0.367,0.7184,42.76,35.85,7,2900000,42.91,3194,2.111,48.76
Zotu3375,-0.1032,0.2113,1.174,37,31.71,7.087,6800000,63.15,5855,3.134,58.92
Zotu33750,0.191,0.2577,0.9977,26.55,26.22,6.084,8760000,59.98,5311,2.103,58.59
Zotu33751,0.08168,0.1908,0.9977,29.57,28.5,6.084,6990000,59.98,5311,2.103,58.59
Zotu33752,-0.1252,0.1766,0.6168,28.95,29.84,7.384,6350000,71.26,3777,2.166,49.16
Zotu33753,-0.3974,0.253,0.7271,58.63,60.91,6.639,2800000,58.92,2681,3.163,54.22
Zotu33755,-0.2409,0.1459,0.941,53.38,51.32,7.134,4280000,57.17,3255,1.706,47.96
Zotu33756,-0.3603,0.4985,0.4608,40.5,40.13,7.26,3840000,49.59,3281,1.799,45.42
Zotu33757,-0.3356,0.3496,0.767,43.46,38.31,6.728,4180000,50.66,3118,1.903,47.56
Zotu33758,-0.4266,0.123,-0.1063,28,29.98,6.953,5680000,61.04,7391,5.849,63
Zotu3376,-0.2232,0.194,0.6168,43.44,40.65,7.06,3630000,61.64,3777,2.166,49.16
Zotu33760,-0.3356,0.3496,0.767,43.46,38.31,6.728,4890000,50.66,3118,1.903,47.56
Zotu33761,-0.251,0.2404,0.7286,37.47,31.34,6.874,4100000,57.56,3526,1.571,47.87
Zotu33762,-0.3093,0.177,0.6168,40.55,34.79,5.364,2610000,62.52,4057,2.232,49.27
Zotu33763,-0.1855,0.1459,0.9006,51.88,50.16,7.16,3820000,56.05,2978,1.788,48.15
