,cell_diameter,cell_length,doubling_h,growth_tmp,optimum_tmp,optimum_ph,genome_size,gc_content,coding_genes,rRNA16S_genes,tRNA_genes
Zotu2519,-0.363,0.3209,0.795,28.86,26.5,7,4.00E+06,67.16,3585,2.174,51.48
Zotu25190,-0.3439,0.3725,0.3714,31.71,30.89,6.738,5740000,45.34,5831,4.091,57.48
Zotu25191,-0.3169,0.1439,1.002,26.82,34.91,5.847,5340000,59.04,4002,1.412,47.99
Zotu25192,-0.251,0.2404,0.7286,37.47,31.34,6.874,4100000,57.56,3526,1.571,47.87
Zotu25193,-0.3505,0.1512,0.9745,28.56,52.04,6.077,4220000,58.2,4002,1.412,47.99
Zotu25194,-0.1216,0.262,0.7953,49.6,51.67,7.542,4850000,59.86,3211,2.041,48.85
Zotu25195,0.01833,0.09484,1.014,28.16,27.51,7.026,6530000,56.5,5315,1.528,56.17
Zotu25196,-0.334,0.3497,0.7175,32.25,40.46,6.883,5870000,66.62,4908,1.779,48.33
Zotu25197,-0.3342,0.5855,0.3262,26.88,29.8,7.283,5770000,43.11,4149,3.039,41.84
Zotu25199,-0.3093,0.177,0.6168,35.33,34.79,5.364,2450000,59.66,4057,2.232,49.27
Zotu252,-0.2484,0.1686,0.6168,35.62,33.48,7.041,4910000,62.52,4057,2.232,49.27
Zotu2520,-0.318,0.3853,-0.02368,20.08,22.25,7.466,3840000,39.03,3706,9.94,87.58
Zotu25200,-0.3356,0.3669,0.7184,42.76,40.28,7,3590000,50.84,3194,2.111,48.76
Zotu25201,0.08168,0.1908,0.9977,29.57,28.5,6.084,6990000,59.98,5311,2.103,58.59
Zotu25202,-0.3182,-0.02425,0.4621,31.57,33.05,7.004,2880000,63.35,4343,2.264,50.82
Zotu25205,-0.1537,0.2266,0.717,32.17,37.36,7.613,6110000,69.37,7036,3.354,54.98
Zotu25206,-0.3365,0.3497,0.7015,43.47,41.41,6.883,3750000,49.58,3117,1.903,47.56
Zotu25208,-0.3584,0.5582,0.5464,29.37,32.61,7.207,4330000,41.88,3626,3.124,48.97
Zotu2521,-0.1503,0.2096,0.8366,51.88,51.56,7.186,3930000,55.8,2943,1.932,48.33
Zotu25210,-0.1032,0.2113,1.174,37,31.71,7.087,6800000,63.15,5855,3.134,58.92
Zotu25211,-0.3875,0.2621,0.8624,35.54,40.11,6.617,5420000,59.02,4246,1.441,47.89
Zotu25212,-0.09736,0.3789,0.7531,46.07,47.66,7.261,3150000,52.66,2834,2.404,48.48
Zotu25213,-0.09736,0.3789,0.7531,46.07,48.19,7.261,2210000,49.94,1973,2.226,46.08
Zotu25214,-0.3169,0.1439,1.002,26.82,34.91,5.847,6130000,59.04,4002,1.412,47.99
Zotu25215,0.001002,0.07812,1.014,28.21,27.47,7.026,6520000,56.41,5315,1.541,56.17
Zotu25216,-0.2497,0.3291,0.63,48.27,49.75,7.055,2690000,55.92,2797,2.782,51.19
Zotu25217,-0.346,0.4571,0.3714,31.21,31.9,7.135,5130000,43.37,4504,2.958,48.7
Zotu25218,-0.09736,0.3789,0.7531,46.07,48.19,7.261,2210000,49.94,1973,2.226,46.08
Zotu25219,-0.2232,0.194,0.6168,43.44,40.65,7.06,3630000,61.64,3777,2.166,49.16
Zotu2522,-0.251,0.2404,0.7286,37.47,34.03,6.874,3540000,55.46,3692,1.918,48.95
Zotu25220,-0.04893,0.5687,0.8953,29.24,27.9,7.86,8680000,69.49,10400,3.671,70.55
Zotu25221,-0.1091,0.4132,0.3714,29.75,28.29,6.873,5670000,44.55,5771,3.71,54.77
Zotu25222,-0.3818,0.5896,0.3262,28.09,29.94,7.293,5410000,42.63,4120,3.075,41.47
Zotu25223,0.001002,0.07812,1.014,28.21,27.47,7.026,6520000,56.41,5315,1.541,56.17
Zotu25224,0.01352,0.04583,0.7752,27.77,29.35,6.87,4750000,72.87,4834,2.933,47.29
Zotu25225,-0.1503,0.2096,0.8366,51.88,51.56,7.186,3910000,55.8,2943,1.932,48.33
Zotu25226,-0.2232,0.194,0.6168,42.3,40.65,7.06,4160000,61.64,3777,2.166,49.16
Zotu25227,0.001002,0.07812,1.014,28.21,27.47,7.026,6520000,56.41,5315,1.541,56.17
Zotu25228,-0.342,-0.1453,0.7481,28.43,25.63,6.956,3790000,68.45,3321,1.881,48.09
Zotu25229,-0.3584,0.5582,0.5464,29.37,32.61,7.207,4330000,41.88,3626,3.124,48.97
Zotu2523,-0.3505,0.1512,0.9745,41.94,52.04,6.077,4230000,59.04,4002,1.412,47.99
Zotu25230,-0.2232,0.194,0.6168,42.3,40.65,7.06,4160000,61.64,3777,2.166,49.16
Zotu25231,-0.1773,0.09056,0.7559,28.16,30.15,6.622,8180000,70.21,6435,3.539,55.81
Zotu25232,-0.1649,0.1778,1.174,30.22,30.32,7.07,5660000,65.61,5394,2.933,54.37
Zotu25233,0.191,0.2577,0.9977,24.09,26.22,6.084,8760000,59.98,5311,2.103,58.59
Zotu25234,-0.251,0.2404,0.7286,37.47,31.34,6.874,4100000,57.56,3526,1.571,47.87
Zotu25236,-0.3639,0.1917,1.178,35.31,34.45,7.075,3780000,56.39,3293,2.642,53.32
Zotu25237,-0.3875,0.2621,0.8624,35.54,40.11,6.617,5420000,59.02,4246,1.441,47.89
Zotu25238,-0.2876,0.3236,0.6248,51.71,54.15,7.064,2470000,47.51,2327,2.519,49.61
Zotu25239,0.191,0.2577,0.9977,24.09,26.22,6.084,8760000,59.98,5311,2.103,58.59
Zotu2524,-0.1944,0.1307,0.8099,28.83,30.37,7.161,4520000,62.98,4371,2.164,48.78
Zotu25240,0.191,0.2577,0.9977,26.55,26.22,6.084,8760000,59.98,5311,2.103,58.59
Zotu25241,-0.1204,-0.01159,0.7286,34.7,26.77,7.482,5310000,58.16,3658,1.423,47.9
Zotu25242,-0.1493,0.5362,0.8953,30.86,30.66,7.86,9380000,67.92,7465,2.645,57.6
Zotu25243,-0.168,0.3901,0.9541,32.66,34.46,7.192,4730000,52.02,4251,2.282,46.3
Zotu25244,-0.3875,0.2621,0.8624,35.54,40.11,6.617,5420000,59.02,4246,1.441,47.89
Zotu25245,-0.3505,0.1512,0.9745,41.94,52.04,6.077,4230000,59.04,4002,1.412,47.99
Zotu25246,0.191,0.2577,0.9977,26.55,26.22,6.084,8760000,59.98,5311,2.103,58.59
Zotu25248,-0.1216,0.262,0.7953,53.45,54.75,7.472,4060000,59.86,3211,2.041,48.85
Zotu25249,-0.2409,0.1459,0.941,53.38,51.32,7.134,4280000,57.17,3255,1.706,47.96
Zotu2525,-0.2232,0.194,0.6168,43.44,40.65,7.06,3630000,61.64,3777,2.166,49.16
Zotu25250,-0.3357,0.367,0.7184,42.76,35.85,7,2900000,42.91,3194,2.111,48.76
Zotu25251,-0.2409,0.1459,0.941,53.38,51.32,7.134,4280000,57.17,3255,1.706,47.96
Zotu25252,-0.09783,0.04525,0.7909,30.12,29.39,6.835,5920000,69.8,4603,2.561,48.34
Zotu25253,-0.1252,0.1766,0.6168,29.95,29.84,7.384,6350000,71.26,3777,2.166,49.16
Zotu25254,-0.3584,0.5582,0.5464,29.37,32.61,7.207,4220000,40.58,3659,3.124,47.58
Zotu25255,-0.3439,0.3725,0.3714,31.71,30.89,6.738,5740000,45.34,5831,4.091,57.48
Zotu25256,-0.251,0.2404,0.7286,37.47,34.03,6.874,3540000,55.46,3692,1.918,48.95
Zotu25258,-0.286,0.225,0.47,56.16,54.88,6.732,2410000,47.46,2627,2.931,55.02
Zotu25259,-0.1503,0.2096,0.8366,51.88,51.56,7.186,3930000,55.8,2943,1.932,48.33
Zotu2526,0.001207,0.12,0.7752,30.79,30.87,7.389,4890000,70.02,4101,2.873,48.82
Zotu25260,-0.1454,0.4097,0.8053,23.97,32.44,7.285,3930000,59.25,3489,1.489,45.52
Zotu25261,-0.1457,0.6069,0.8953,30.64,31.56,7.548,6850000,63.07,5937,2.529,53.22
Zotu25262,-0.3811,0.5213,0.3714,29.31,30.02,6.892,5200000,44.16,5868,3.509,53.25
Zotu25263,-0.1252,0.1766,0.6168,29.95,29.84,7.384,6350000,71.26,3777,2.166,49.16
Zotu25264,-0.09736,0.3789,0.7531,46.07,48.19,7.261,3100000,52.7,2668,2.226,47.92
Zotu25265,-0.2409,0.1459,0.8557,54.36,54.46,7.356,4080000,57.81,3346,1.684,47.91
Zotu25266,-0.09736,0.3789,0.7531,46.07,48.19,7.261,1100000,45.42,1337,2.226,44.95
Zotu25267,-0.2409,0.1459,0.941,54.08,52.1,7.131,4080000,57.81,3346,1.684,47.91
Zotu25268,-0.3169,0.1439,1.002,26.82,34.91,5.847,5340000,59.04,4002,1.412,47.99
Zotu25269,-0.1168,0.3541,0.9008,33.01,33.82,7.699,2370000,44.66,2517,1.925,44.7
Zotu2527,-0.1349,0.07502,0.7286,31.72,34.07,6.006,5020000,54.98,2765,1.443,50.55
Zotu25270,-0.3439,0.3725,0.3714,31.71,30.89,6.738,5740000,45.34,5831,4.091,57.48
Zotu25271,0.1827,0.2327,0.7062,25.18,36.46,7.297,4170000,61.61,3819,1.964,46.9
Zotu25272,0.01559,0.1257,1.014,29.3,28.41,6.322,6270000,56.83,4988,1.618,54.21
Zotu25275,-0.236,0.5573,0.8953,32.35,30.66,7.86,9380000,67.92,7465,2.645,57.6
Zotu25276,-0.3356,0.3669,0.7184,42.76,40.28,7,3590000,50.84,3194,2.111,48.76
Zotu25277,-0.1503,0.2096,0.8366,51.88,51.56,7.186,3910000,55.8,2943,1.932,48.33
Zotu25279,0.01833,0.09484,1.014,28.16,27.51,7.026,6530000,56.5,5315,1.528,56.17
Zotu2528,-0.2829,0.2612,0.2258,28.41,28.22,5.958,6680000,60.59,6409,2.976,51.5
Zotu25280,-0.3192,0.4369,0.3714,29.75,29.56,6.873,5670000,44.55,5771,3.71,54.77
Zotu25281,0.08168,0.1908,0.9977,29.57,28.5,6.084,6990000,59.98,5311,2.103,58.59
Zotu25282,-0.09987,0.2699,1.382,27.7,30.41,7.183,6.00E+06,62.35,5332,1.369,49.26
Zotu25283,0.01559,0.1257,1.014,29.3,28.41,6.322,6270000,56.83,4988,1.618,54.21
Zotu25284,-0.2497,0.3291,0.63,46.08,47.88,7.055,2870000,56.64,2797,2.782,51.19
Zotu25285,-0.2232,0.194,0.6168,43.44,40.65,7.06,3630000,61.64,3777,2.166,49.16
Zotu25287,-0.2845,0.3221,0.6288,53.41,55.38,7.062,2580000,47.85,2456,2.595,50.06
Zotu25288,-0.05239,0.4552,0.8053,29.86,31.06,7.702,3310000,63.11,3333,1.108,44.62
Zotu25289,-0.3169,0.1439,1.002,26.82,34.91,5.847,6130000,59.04,4002,1.412,47.99
Zotu2529,-0.3378,0.3546,0.6989,42.75,40.84,6.908,3330000,49.44,3098,2.119,48.04
Zotu25290,-0.251,0.2404,0.7286,37.47,31.34,6.874,4100000,57.56,3526,1.571,47.87
Zotu25291,-0.09736,0.3789,0.7531,46.07,48.19,7.261,1100000,45.42,1337,2.226,44.95
Zotu25292,-0.251,0.2404,0.7286,37.47,34.03,6.874,3540000,55.46,3692,1.918,48.95
Zotu25293,-0.09736,0.3789,0.7531,46.07,48.19,7.261,1380000,47.66,1337,2.226,44.95
Zotu25294,-0.2255,0.1345,0.795,28.98,32.3,7.182,3960000,59.75,3898,2.064,47.68
Zotu25295,0.08168,0.1908,0.9977,31.28,29.47,6.084,7910000,64.22,5885,4.351,62.3
Zotu25296,-0.1503,0.2096,0.8366,51.88,51.56,7.186,3930000,55.8,2943,1.932,48.33
Zotu25297,-0.334,0.3497,0.7175,32.25,40.46,6.883,3480000,48.56,3186,2.098,48.56
Zotu25299,-0.2876,0.3236,0.6248,51.71,54.15,7.064,2470000,47.51,2327,2.519,49.61
Zotu253,-0.3505,0.1512,0.9745,41.94,52.04,6.077,4230000,59.04,4002,1.412,47.99
Zotu2530,-0.3178,0.2049,0.2474,40.79,32.52,7.171,3530000,61.27,3398,2.378,49.18
Zotu25300,-0.1204,-0.01159,0.7286,34.7,26.77,7.482,5070000,63.21,4051,1.138,48.32
Zotu25301,-0.251,0.2404,0.7286,37.47,34.03,6.874,3540000,55.46,3692,1.918,48.95
Zotu25302,-0.2497,0.3291,0.63,46.08,47.88,7.055,2870000,56.64,2797,2.782,51.19
Zotu25303,-0.3093,0.177,0.6168,40.96,34.79,5.364,2190000,59.66,4057,2.232,49.27
Zotu25304,-0.251,0.2404,0.7286,37.47,31.34,6.874,4300000,58.35,4051,1.895,50.78
Zotu25305,-0.1067,0.1308,0.7286,28.71,31.09,6.123,5870000,57.43,2765,1.523,52.62
Zotu25306,0.08168,0.1908,0.9977,29.57,28.5,6.084,6990000,59.98,5311,2.103,58.59
Zotu25307,-0.09736,0.3789,0.7531,46.07,48.19,7.261,1140000,42.3,1130,2.226,43.97
Zotu25308,-0.2497,0.3291,0.63,48.27,49.75,7.055,2690000,55.92,2797,2.782,51.19
Zotu25309,-0.2724,0.1697,0.3441,30.89,31.46,7.142,3570000,58.86,3273,2.028,47.14
Zotu2531,-0.3093,0.177,0.6168,40.96,34.79,5.364,2190000,59.66,4057,2.232,49.27
Zotu25310,-0.2497,0.3291,0.63,48.27,49.75,7.055,2890000,53.36,2797,2.782,51.19
Zotu25311,-0.3356,0.3496,0.767,43.46,39.45,6.521,3350000,51.95,3051,1.903,47.49
Zotu25312,-0.1349,0.07502,0.7286,31.72,31.43,6.693,4790000,55.86,3063,1.473,48.58
Zotu25313,-0.3911,0.2472,0.3714,31.71,30.89,6.738,5740000,45.34,5831,4.091,57.48
Zotu25314,0.08168,0.1908,0.9977,29.57,28.5,6.084,6990000,59.98,5311,2.103,58.59
Zotu25315,-0.2127,0.1575,0.6168,45.25,44.25,7.216,3330000,61.66,3365,2.033,48.49
Zotu25316,-0.06798,0.5798,0.8953,28.86,27.9,7.86,9690000,69.08,10100,3.565,70.55
Zotu25317,-0.3356,0.3669,0.7184,42.76,40.28,7,3590000,50.84,3194,2.111,48.76
Zotu25318,-0.08173,0.5796,0.7953,48.11,48.5,7.542,5820000,59.35,3830,2.354,48.45
Zotu25319,-0.1486,0.2127,1.174,31.51,30.54,7.087,5550000,65.47,5855,3.134,58.92
Zotu2532,-0.3505,0.1512,0.9745,41.94,52.04,6.077,4230000,59.04,4002,1.412,47.99
Zotu25320,-0.08173,0.5796,0.7953,48.11,48.5,7.542,5820000,59.35,3830,2.354,48.45
Zotu25321,-0.3875,0.2621,0.8624,35.54,40.11,6.617,5420000,59.02,4246,1.441,47.89
Zotu25322,-0.1744,0.3096,1.068,38.18,39.04,7.183,4200000,52.88,3947,2.357,49.86
Zotu25323,0.08168,0.1908,0.9977,29.57,28.5,6.084,6990000,59.98,5311,2.103,58.59
Zotu25324,-0.1917,0.301,0.7789,29.86,30.34,7.192,4790000,56.93,3690,3.289,51.42
Zotu25325,-0.1759,0.3881,0.3817,31.04,29.81,7.806,6210000,52.05,4754,10.01,89.51
Zotu25326,0.01613,0.1125,1.014,27.95,26.96,6.322,7020000,55.3,5007,1.944,54.51
Zotu25328,0.01559,0.1257,1.014,29.3,28.41,6.322,6270000,56.83,4988,1.618,54.21
Zotu25329,-0.3505,0.1512,0.9745,28.52,52.04,6.077,4220000,58.2,4002,1.412,47.99
Zotu2533,-0.3505,0.1512,0.9745,41.94,52.04,6.077,4230000,59.04,4002,1.412,47.99
Zotu25331,-0.1067,0.1308,0.7286,28.71,31.09,6.123,5870000,57.43,2765,1.523,52.62
Zotu25332,-0.1168,0.3541,0.9008,33.76,33.82,7.699,2720000,44.66,2517,1.925,44.7
Zotu25333,0.001002,0.07812,1.014,28.21,27.47,7.026,6520000,56.41,5315,1.541,56.17
Zotu25334,-0.251,0.2404,0.7286,37.47,31.34,6.874,4100000,57.56,3526,1.571,47.87
Zotu25335,-0.2409,0.1459,0.941,54.08,52.1,7.131,4080000,57.82,3346,1.684,47.91
Zotu25336,-0.3911,0.4063,0.5201,39.8,40.13,6.953,3390000,41.82,3045,1.744,46.72
Zotu25337,-0.334,0.3497,0.7175,32.25,40.46,6.883,5870000,66.62,4908,1.779,48.33
Zotu25339,-0.1486,0.2127,1.174,31.51,30.54,7.087,5550000,65.47,5855,3.134,58.92
Zotu2534,-0.3356,0.3496,0.767,43.46,38.31,6.728,4890000,50.66,3118,1.903,47.56
Zotu25340,-0.2876,0.3236,0.6248,34.8,54.15,7.064,1740000,40.74,1553,1.408,46.66
Zotu25341,-0.3607,0.3504,0.6989,41.19,40.32,6.908,3800000,47.44,3086,2.022,48.03
Zotu25342,0.08168,0.1908,0.9977,29.57,28.5,6.084,6990000,59.98,5311,2.103,58.59
Zotu25343,-0.2422,0.1284,0.7286,33.76,33.63,6.915,3910000,52.67,2933,1.708,46.48
Zotu25344,-0.1493,0.5362,0.8953,30.86,30.66,7.86,9380000,67.92,7465,2.645,57.6
Zotu25346,-0.2232,0.194,0.6168,43.44,40.65,7.06,3630000,61.64,3777,2.166,49.16
Zotu25347,-0.1493,0.5362,0.8953,30.86,30.66,7.86,9380000,67.92,7465,2.645,57.6
Zotu25348,0.001002,0.07812,1.014,28.21,27.47,7.026,6520000,56.41,5315,1.541,56.17
Zotu25349,-0.1904,0.3363,0.3714,28.62,29.73,7.213,5160000,45.02,4001,3.021,42.77
Zotu2535,-0.3192,0.4369,0.3714,29.75,29.56,6.873,5670000,44.55,5771,3.71,54.77
Zotu25350,-0.1503,0.2096,0.8366,51.88,51.56,7.186,3930000,55.8,2943,1.932,48.33
Zotu25351,-0.251,0.2404,0.7286,37.47,31.34,6.874,4100000,57.56,3526,1.571,47.87
Zotu25352,-0.1252,0.1766,0.6168,28.95,29.84,7.384,6350000,71.26,3777,2.166,49.16
Zotu25353,-0.3911,0.4063,0.5201,39.8,40.13,6.953,3390000,41.82,3045,1.744,46.72
Zotu25354,-0.251,0.2404,0.7286,37.47,31.34,6.874,4100000,57.56,3526,1.571,47.87
Zotu25355,-0.3093,0.177,0.6168,40.96,34.79,5.364,2190000,59.66,4057,2.232,49.27
Zotu25356,-0.3365,0.3497,0.7015,43.47,41.41,6.883,3750000,49.58,3117,1.903,47.56
Zotu25357,-0.1503,0.2096,0.8366,51.88,51.56,7.186,3910000,55.8,2943,1.932,48.33
Zotu25358,-0.1067,0.1308,0.7286,28.71,31.09,6.123,5870000,57.43,2765,1.523,52.62
Zotu25359,-0.3505,0.1512,0.9745,34.34,38.88,6.077,5190000,59.04,4002,1.412,47.99
Zotu2536,-0.08173,0.5796,0.7953,48.11,48.5,7.542,5360000,59.35,3830,2.354,48.45
Zotu25360,-0.334,0.3497,0.7175,42.7,40.46,6.883,3480000,48.56,3186,2.098,48.56
Zotu25361,-0.204,0.7887,0.8772,28.07,29.44,7.548,10700000,68.64,8399,2.965,64.67
Zotu25363,0.08168,0.1908,0.9977,29.57,28.5,6.084,6990000,59.98,5311,2.103,58.59
Zotu25365,-0.1503,0.2096,0.8366,51.88,51.56,7.186,3910000,55.8,2943,1.932,48.33
Zotu25366,-0.09736,0.3789,0.7531,46.07,48.19,7.261,1100000,45.42,1337,2.226,44.95
Zotu25369,0.01352,0.04583,0.7752,27.94,29.35,6.87,4840000,72.87,4834,2.933,47.29
Zotu2537,-0.3875,0.2621,0.8624,35.54,40.11,6.617,5420000,59.02,4246,1.441,47.89
Zotu25370,-0.09736,0.3789,0.7531,46.07,48.19,7.261,2210000,49.94,1973,2.226,46.08
Zotu25371,-0.251,0.2404,0.7286,37.47,31.34,6.874,4100000,57.56,3526,1.571,47.87
Zotu25373,-0.09736,0.3789,0.7531,46.07,48.19,7.261,1140000,42.3,1130,2.226,43.97
Zotu25374,-0.1486,0.2127,1.174,31.51,30.54,7.087,5550000,65.47,5855,3.134,58.92
Zotu25375,-0.02782,0.108,0.9198,30.83,32.97,7.022,5480000,66.54,3806,3.475,53.35
Zotu25376,-0.3439,0.4608,0.3714,29.33,29.97,6.798,5890000,44.33,5771,3.71,54.77
Zotu25377,0.08168,0.1908,0.9977,29.57,28.5,6.084,6990000,59.98,5311,2.103,58.59
Zotu25378,-0.2622,0.09056,0.7559,27.59,29.41,7.18,6960000,70.18,6435,3.539,55.81
Zotu25379,-0.08173,0.5796,0.7953,48.11,48.5,7.542,5360000,59.35,3830,2.354,48.45
Zotu2538,-0.2484,0.1686,0.6168,35.62,33.48,7.041,4910000,62.52,4057,2.232,49.27
Zotu25380,-0.251,0.2404,0.7286,37.47,31.34,6.874,4100000,57.56,3526,1.571,47.87
Zotu25381,-0.09065,0.2215,0.7286,28.86,30.2,6.405,7040000,57.96,2765,1.523,52.62
Zotu25383,-0.2497,0.3291,0.63,46.08,47.88,7.055,2870000,56.64,2797,2.782,51.19
Zotu25384,0.01559,0.1257,1.014,29.3,28.41,6.322,6270000,56.83,4988,1.618,54.21
Zotu25385,-0.2409,0.1459,0.941,53.38,51.32,7.134,4280000,57.17,3255,1.706,47.96
Zotu25386,-0.3875,0.2621,0.8624,35.54,40.11,6.617,5420000,59.02,4246,1.441,47.89
Zotu25387,-0.2497,0.3291,0.63,48.27,49.75,7.055,2690000,55.92,2797,2.782,51.19
Zotu25388,-0.3356,0.3669,0.7184,42.76,40.28,7,3590000,50.84,3194,2.111,48.76
Zotu25389,-0.1503,0.2096,0.8366,51.88,51.56,7.186,3930000,55.8,2943,1.932,48.33
Zotu2539,-0.1187,0.5969,0.8953,30.09,30.48,7.802,8450000,66.23,7352,2.613,57.21
Zotu25390,-0.1216,0.262,0.7953,53.25,54.55,7.252,3870000,56.7,3006,1.97,48.65
Zotu25391,-0.2541,0.09753,0.3714,29.67,29.41,6.794,5540000,45.77,4606,2.372,44.03
Zotu25392,-0.3505,0.1512,0.9745,41.94,52.04,6.077,4230000,59.04,4002,1.412,47.99
Zotu25393,-0.2409,0.1459,0.941,53.38,51.32,7.134,4280000,57.17,3255,1.706,47.96
Zotu25394,-0.3745,0.5125,0.3714,29.28,30,6.885,5910000,44.33,5771,3.71,54.77
Zotu25395,-0.1503,0.2096,0.8366,51.88,51.56,7.186,3930000,55.8,2943,1.932,48.33
Zotu25396,-0.3093,0.177,0.6168,35.33,34.79,5.364,2450000,59.66,4057,2.232,49.27
Zotu25397,-0.334,0.3497,0.7175,32.25,40.46,6.883,3480000,48.56,3186,2.098,48.56
Zotu25398,-0.1252,0.1766,0.6168,29.95,29.84,7.384,6350000,71.26,3777,2.166,49.16
Zotu25399,0.1673,0.1371,0.717,28.04,28.04,6.916,6200000,71.79,8403,3.216,61.6
Zotu254,-0.3908,0.1143,0.3235,27.2,28.57,7.355,3080000,56.06,2962,2.194,46.92
Zotu2540,-0.2876,0.3236,0.6248,53.68,55.7,7.055,2560000,47.56,2436,2.583,49.97
Zotu25400,-0.2864,0.1045,0.795,28.77,25.52,7.103,4590000,65.39,4661,2.33,52.13
Zotu25401,-0.1252,0.2544,0.6168,28.27,29.84,7.384,6350000,71.26,3777,2.166,49.16
Zotu25402,-0.251,0.2404,0.7286,37.47,31.34,6.874,4100000,57.56,3526,1.571,47.87
Zotu25403,-0.2876,0.3236,0.6248,51.71,54.15,7.064,2470000,47.51,2327,2.519,49.61
Zotu25405,-0.2497,0.3291,0.63,46.08,47.88,7.055,2870000,56.64,2797,2.782,51.19
Zotu25406,-0.3875,0.2621,0.8624,35.54,40.11,6.617,5420000,59.02,4246,1.441,47.89
Zotu25407,-0.3838,0.3666,0.3714,28.43,27.66,7.228,6780000,45.84,4912,2.749,49.54
Zotu25408,-0.1493,0.5362,0.8953,30.86,30.66,7.86,9380000,67.92,7465,2.645,57.6
Zotu25409,-0.3169,0.1439,1.002,26.82,34.91,5.847,6130000,59.04,4002,1.412,47.99
Zotu2541,-0.3169,0.1439,1.002,26.82,34.91,5.847,6130000,59.04,4002,1.412,47.99
Zotu25410,-0.08173,0.5796,0.7953,48.11,48.5,7.542,5820000,59.35,3830,2.354,48.45
Zotu25411,-0.2656,0.3425,0.7153,40.99,42.96,7.373,3380000,45.77,3099,5.261,59.82
Zotu25412,-0.3875,0.2621,0.8624,35.54,40.11,6.617,5420000,59.02,4246,1.441,47.89
Zotu25413,-0.1457,0.6069,0.8772,29.02,29.9,7.548,6700000,69.01,5631,2.491,52.14
Zotu25414,-0.334,0.3497,0.7175,32.25,40.46,6.883,5870000,66.62,4908,1.779,48.33
Zotu25415,-0.2288,0.02632,0.8053,31.66,33.38,6.902,4200000,59.25,3489,1.489,45.52
Zotu25416,-0.1917,0.301,0.7789,29.86,30.34,7.192,4790000,56.93,3690,3.289,51.42
Zotu25417,-0.334,0.3497,0.7175,32.25,40.46,6.883,3480000,48.56,3186,2.098,48.56
Zotu25418,-0.1349,0.07502,0.7286,31.72,34.07,6.006,5020000,54.98,2765,1.443,50.55
Zotu2542,-0.3006,0.1497,0.4323,33.82,33.17,7.423,3220000,54.5,2901,2.543,48.53
Zotu25420,-0.09736,0.3789,0.7531,46.07,47.66,7.261,3150000,52.66,2834,2.404,48.48
Zotu25421,-0.251,0.2404,0.7286,37.47,31.34,6.874,4100000,57.56,3526,1.571,47.87
Zotu25422,0.191,0.2577,0.9977,24.09,26.22,6.084,8760000,59.98,5311,2.103,58.59
Zotu25423,-0.251,0.2404,0.7286,37.47,31.34,6.874,4100000,57.56,3526,1.571,47.87
Zotu25424,-0.1503,0.2096,0.8366,51.88,51.56,7.186,3910000,55.8,2943,1.932,48.33
Zotu25425,-0.1999,0.1317,0.7378,30.18,31.76,7.191,4150000,61,4117,2.041,48
Zotu25426,-0.3178,0.2049,0.2474,40.79,32.52,7.171,3530000,61.27,3398,2.378,49.18
Zotu25427,-0.3093,0.177,0.6168,40.96,34.79,5.364,2190000,59.66,4057,2.232,49.27
Zotu25428,-0.05618,0.3035,1.178,37.53,38.55,7.167,4110000,54.62,3701,1.967,49.4
Zotu25429,-0.1168,0.3541,0.9008,33.01,33.82,7.699,2370000,44.66,2517,1.925,44.7
Zotu2543,-0.2232,0.194,0.6168,43.44,40.65,7.06,3630000,61.64,3777,2.166,49.16
Zotu25430,0.08168,0.1908,0.9977,29.57,28.5,6.084,6990000,59.98,5311,2.103,58.59
Zotu25431,-0.2733,0.2443,0.3754,33.61,32.52,7.171,3530000,61.27,3398,2.378,49.18
Zotu25432,-0.3446,-0.2253,0.7559,28.15,27.57,7.305,4200000,70.1,4431,2.195,48.2
Zotu25433,-0.3505,0.1512,0.9745,41.94,52.04,6.077,4230000,59.04,4002,1.412,47.99
Zotu25434,0.191,0.2577,0.9977,26.55,26.22,6.084,8760000,59.98,5311,2.103,58.59
Zotu25435,-0.1216,0.262,0.7953,49.6,51.67,7.542,4850000,59.86,3211,2.041,48.85
Zotu25436,-0.1204,-0.01159,0.7286,34.7,26.77,7.482,7630000,58.16,3658,1.423,47.9
Zotu25437,-0.1216,0.262,0.7953,49.6,51.67,7.542,4850000,59.86,3211,2.041,48.85
Zotu25438,0.08168,0.1908,0.9977,29.57,28.5,6.084,6990000,59.98,5311,2.103,58.59
Zotu2544,-0.3351,0.05291,0.7062,28.7,29.83,7.606,4130000,61,4814,2.045,49.33
Zotu25440,-0.2614,0.3222,0.6108,48.34,48.86,7.278,3070000,52.67,3018,3.054,52.99
Zotu25441,-0.1486,0.2127,1.174,31.51,30.54,7.087,5550000,65.47,5855,3.134,58.92
Zotu25442,-0.3169,0.1439,1.002,26.82,34.91,5.847,6130000,59.04,4002,1.412,47.99
Zotu25443,-0.1556,0.4575,0.3714,26.77,21.12,7.125,5310000,59.13,4138,3.54,44.56
Zotu25444,-0.3439,0.3725,0.3714,31.71,30.89,6.738,5740000,45.34,5831,4.091,57.48
Zotu25445,-0.2232,0.194,0.6168,43.44,40.65,7.06,3630000,61.64,3777,2.166,49.16
Zotu25446,-0.2201,0.2134,1.118,20.11,21.96,4.601,5280000,60.11,3857,1.522,49.11
