ID	YD16L1	YD16L2	YD16L3	YD16L4	YD17L1	YD17L2	YD17L3	YD17L4	YD18L1	YD18L2	YD18L3	YD18L4	YD1L1	YD1L2	YD1L3	YD1L4	YD22L1	YD22L2	YD22L3	YD22L4	YD23L1	YD23L2	YD23L3	YD23L4	YD24L1	YD24L2	YD24L3	YD24L4	YD2L1	YD2L2	YD2L3	YD2L4	YD31L1	YD31L2	YD31L3	YD31L4	YD32L1	YD32L2	YD32L3	YD32L4	YD33L1	YD33L2	YD33L3	YD33L4	YD3L1	YD3L2	YD3L4	YD43L1	YD43L2	YD43L3	YD43L4	YD44L1	YD44L2	YD44L3	YD44L4	YD45L1	YD45L2	YD45L3	YD45L4	YD46L1	YD46L2	YD46L3	YD46L4	YD47L1	YD47L2	YD47L3	YD47L4	YD48L1	YD48L2	YD48L3	YD48L4	YD3L3
Zotu1769	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu25	1	3	0	0	1	1	0	0	0	0	7	0	0	3	0	0	0	0	7	0	0	2	7	0	0	6	0	0	1	2	0	0	52	0	8	0	0	6	10	0	2	0	0	0	1	0	5	0	3	17	0	0	0	0	1	0	9	0	4	4	0	0	0	0	5	0	4	0	0	6	0	5
Zotu2	484	491	1398	49	115	103	1772	50	620	808	278	535	327	918	553	746	483	157	680	63	172	145	251	17	479	201	895	2846	261	544	1115	1412	704	1126	55	237	361	206	276	287	359	2550	401	1385	324	351	100	441	188	1074	297	292	1048	226	1172	281	364	181	732	750	1954	1072	377	61	959	429	415	171	553	781	1316	379
Zotu209	119	27	0	0	7	0	0	0	1	3	0	0	0	1	0	1	20	4	0	0	12	12	3	0	3	0	21	0	4	32	0	1	16	0	0	0	0	73	0	0	6	90	0	1	6	0	0	0	0	0	0	6	0	0	0	11	1	0	1	3	0	7	0	1	23	0	0	4	1	0	0	7
Zotu1039	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0
Zotu151	55	5	0	0	6	4	0	0	48	6	1	3	5	4	10	5	22	1	1	0	69	39	28	0	88	1	0	0	18	10	13	0	18	6	3	1	39	4	88	0	11	85	1	22	10	8	2	1	0	1	0	3	6	0	0	125	0	8	0	38	0	0	0	10	1	0	0	22	15	1	1	2
Zotu777	1	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu1493	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
Zotu1000	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	4	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	1	0	0	0	0
Zotu1170	3	0	0	0	0	2	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
